#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457292.5454822532 	 1.2650000000 	 -0.1341708734 	 6.8578893079 	 1053.5551349601 	 603.0371334288 
2457292.5461072288 	 1.2620000000 	 -0.1321872931 	 5.7452396532 	 1052.6869422446 	 603.1453030370 
2457292.5467322045 	 1.2600000000 	 -0.1315213415 	 2.1443696785 	 1061.9765619118 	 603.4064070740 
2457292.5473571802 	 1.2570000000 	 -0.1317161482 	 2.4039524060 	 1068.3874814747 	 603.0714067331 
2457292.5479705827 	 1.2540000000 	 -0.1325179881 	 5.3684626495 	 1060.2599688139 	 603.0462621035 
2457292.5485955584 	 1.2510000000 	 -0.1339631056 	 1.8013459921 	 1059.6847241632 	 603.1165116940 
2457292.5492205340 	 1.2490000000 	 -0.1362561033 	 2.5937392099 	 1035.0463515283 	 603.0838683885 
2457292.5498455097 	 1.2460000000 	 -0.1395502592 	 4.9609074082 	 1052.3758418160 	 603.0425400145 
2457292.5504589123 	 1.2430000000 	 -0.1437857709 	 4.2206817358 	 1029.3859412623 	 603.2657608586 
2457292.5510838879 	 1.2410000000 	 -0.1487043448 	 3.7071072494 	 1039.8455194419 	 602.9892409846 
2457292.5517088636 	 1.2380000000 	 -0.1540095196 	 7.6253719087 	 1011.1039190928 	 602.9721000728 
2457292.5523222657 	 1.2350000000 	 -0.1595494192 	 6.0529398240 	 1015.0356103908 	 603.0014981595 
2457292.5529472418 	 1.2330000000 	 -0.1654051585 	 2.1228063992 	 1030.8916787594 	 603.2327681733 
2457292.5535722175 	 1.2300000000 	 -0.1718419684 	 2.8390515595 	 1021.4557125345 	 603.2608351304 
2457292.5541971931 	 1.2280000000 	 -0.1791647272 	 2.3018168407 	 1020.2199997520 	 603.3158963371 
2457292.5548105952 	 1.2250000000 	 -0.1875567682 	 2.1048014487 	 1020.0597046603 	 603.1494969416 
2457292.5554355709 	 1.2230000000 	 -0.1969634776 	 1.8472997454 	 1048.9517809244 	 602.9717404186 
2457292.5560489730 	 1.2200000000 	 -0.2070605015 	 1.7876210448 	 1024.8528307119 	 603.1594082087 
2457292.5566739491 	 1.2180000000 	 -0.2173262341 	 2.2403840730 	 1010.3980207470 	 603.1223447952 
2457292.5572989248 	 1.2150000000 	 -0.2272113772 	 1.9910415789 	 1014.6157378997 	 603.2911536583 
2457292.5579239004 	 1.2130000000 	 -0.2363349913 	 1.2883240737 	 1029.3485181271 	 602.9208061471 
2457292.5585373025 	 1.2110000000 	 -0.2446172743 	 2.5228518290 	 1000.6137739827 	 603.0366598994 
2457292.5591622782 	 1.2080000000 	 -0.2522499432 	 4.1783710588 	 992.4554699698 	 603.0800964393 
2457292.5597872543 	 1.2060000000 	 -0.2595326364 	 4.1113134585 	 1013.4501860342 	 602.9025688686 
2457292.5604122300 	 1.2040000000 	 -0.2666622180 	 6.3905479121 	 988.7815338466 	 602.7871355223 
2457292.5610372056 	 1.2010000000 	 -0.2736188641 	 5.5066915910 	 988.4643845495 	 603.0641857495 
2457292.5616506077 	 1.1990000000 	 -0.2802100749 	 3.8009351973 	 998.4891601516 	 602.8930839418 
2457292.5622755834 	 1.1970000000 	 -0.2862196208 	 2.0389709817 	 1019.0205526966 	 603.0195026228 
2457292.5629005590 	 1.1950000000 	 -0.2915427811 	 8.3168806325 	 999.2217451378 	 602.7844181431 
2457292.5635139612 	 1.1920000000 	 -0.2962086482 	 1.9797658845 	 1003.8373632446 	 602.8759891557 
2457292.5641389373 	 1.1900000000 	 -0.3002989538 	 1.9357955442 	 1051.2392391816 	 602.7022597629 
2457292.5647639129 	 1.1880000000 	 -0.3038499109 	 2.0734398409 	 1045.2184543972 	 602.7286581002 
2457292.5653888886 	 1.1860000000 	 -0.3068164251 	 3.0193577703 	 1058.9781696194 	 602.9574116598 
2457292.5660138642 	 1.1840000000 	 -0.3091298551 	 3.2746371698 	 1100.6142465503 	 602.5544317758 
2457292.5666272664 	 1.1810000000 	 -0.3107850818 	 1.7758799578 	 1009.6305925914 	 602.6381053327 
2457292.5672522420 	 1.1790000000 	 -0.3118934548 	 2.3510677616 	 1008.7133773976 	 602.9803830089 
2457292.5678772177 	 1.1770000000 	 -0.3126558349 	 2.0361290592 	 984.5118024098 	 602.6765639177 
2457292.5685021933 	 1.1750000000 	 -0.3132906554 	 1.5260501681 	 995.4591075092 	 602.7684343518 
2457292.5691155954 	 1.1730000000 	 -0.3139352688 	 2.0606348011 	 963.4549660483 	 602.4837785497 
2457292.5697405711 	 1.1710000000 	 -0.3145622234 	 2.2270129348 	 955.9766653017 	 602.5208528306 
2457292.5703655472 	 1.1690000000 	 -0.3149249635 	 2.0274691151 	 968.5655597289 	 602.9114964672 
2457292.5709905229 	 1.1670000000 	 -0.3145363833 	 1.7407532927 	 985.9710371873 	 602.6050483876 
2457292.5716154985 	 1.1650000000 	 -0.3127104201 	 2.5183224160 	 1048.2520565641 	 602.6848205268 
2457292.5722289006 	 1.1630000000 	 -0.3087210933 	 3.0011381123 	 1032.2677159962 	 602.5173492142 
2457292.5728538763 	 1.1610000000 	 -0.3020847884 	 3.6110590121 	 1060.7028652949 	 602.5173492142 
2457292.5734788519 	 1.1590000000 	 -0.2929111914 	 3.2229197939 	 1051.2641110531 	 602.6362649399 
2457292.5741038276 	 1.1570000000 	 -0.2821656489 	 1.8075430352 	 983.1582913662 	 602.9714487442 
2457292.5747172297 	 1.1550000000 	 -0.2716348309 	 2.6844750855 	 1002.7336030754 	 602.9274156783 
2457292.5758398711 	 1.1520000000 	 -0.2634938493 	 2.5073206899 	 993.5622935992 	 602.4191726356 
2457292.5764648467 	 1.1500000000 	 -0.2595874993 	 2.1240065409 	 982.1427078134 	 602.6066666038 
2457292.5770898224 	 1.1480000000 	 -0.2607365712 	 1.8352744768 	 960.6202010611 	 602.5517488393 
2457292.5777147980 	 1.1470000000 	 -0.2664202893 	 2.1651970980 	 967.4288707511 	 602.7623904087 
2457292.5783282002 	 1.1450000000 	 -0.2749584585 	 2.4700355290 	 971.2865468130 	 602.7068902008 
2457292.5789531758 	 1.1430000000 	 -0.2840618186 	 1.9947093245 	 946.2180452469 	 602.6109447792 
2457292.5795781515 	 1.1410000000 	 -0.2914851248 	 1.7073165293 	 954.1970222270 	 602.6673531997 
2457292.5802031271 	 1.1390000000 	 -0.2955573428 	 1.8730078736 	 966.0211223515 	 602.9320471380 
2457292.5808165292 	 1.1380000000 	 -0.2954944441 	 1.6134521494 	 955.9211723658 	 602.8691086390 
2457292.5814415049 	 1.1360000000 	 -0.2914985279 	 1.8044721082 	 941.4757334398 	 602.4945363919 
2457292.5820664805 	 1.1340000000 	 -0.2846662868 	 1.4011425944 	 942.9655751498 	 602.5908398569 
2457292.5826914562 	 1.1330000000 	 -0.2767401272 	 1.5368247936 	 946.2841404002 	 602.8116326243 
2457292.5833164318 	 1.1310000000 	 -0.2697506117 	 3.1190516501 	 918.0004373670 	 602.6153828532 
2457292.5839298340 	 1.1290000000 	 -0.2656372348 	 5.7076898714 	 904.4434458158 	 602.7305774019 
2457292.5845548096 	 1.1280000000 	 -0.2659324875 	 3.0903869769 	 917.1897668177 	 602.7240376935 
2457292.5851797853 	 1.1260000000 	 -0.2715583641 	 4.6695961779 	 894.4908037172 	 602.8482515102 
2457292.5857931874 	 1.1250000000 	 -0.2827220055 	 1.7320155635 	 930.6481119258 	 602.8754614067 
2457292.5864181630 	 1.1230000000 	 -0.2988607662 	 1.7033718354 	 910.2624958250 	 602.9391513461 
2457292.5870431387 	 1.1210000000 	 -0.3186660821 	 2.0521444745 	 948.7469240453 	 602.7855122412 
2457292.5876681143 	 1.1200000000 	 -0.3402236273 	 1.8972720485 	 898.6312685557 	 602.9191713903 
2457292.5882930900 	 1.1180000000 	 -0.3613202637 	 1.6833357816 	 898.3487959780 	 602.7238665691 
2457292.5889064921 	 1.1170000000 	 -0.3799193560 	 2.0964062239 	 912.9665019933 	 602.5675640169 
2457292.5895314678 	 1.1150000000 	 -0.3946560354 	 2.3667072577 	 887.7403418652 	 602.6928666958 
2457292.5901564434 	 1.1140000000 	 -0.4051752075 	 3.5190542116 	 883.5582965882 	 602.8497710010 
2457292.5907814186 	 1.1120000000 	 -0.4121462532 	 2.1664471080 	 876.0912988171 	 602.8317176662 
2457292.5913948207 	 1.1110000000 	 -0.4169774022 	 3.7927106501 	 880.5075931259 	 602.6971789019 
2457292.5920197964 	 1.1090000000 	 -0.4213526854 	 4.0759777660 	 892.4273530156 	 602.8068216145 
2457292.5926447720 	 1.1080000000 	 -0.4267997455 	 4.9357752393 	 906.3067326178 	 602.7631379377 
2457292.5932697477 	 1.1060000000 	 -0.4344060879 	 4.0838981516 	 884.4495535502 	 602.8040729862 
2457292.5938831498 	 1.1050000000 	 -0.4447354943 	 6.3989229180 	 872.2220601283 	 602.9253598664 
2457292.5945081254 	 1.1040000000 	 -0.4578841176 	 1.9403694917 	 896.2687400981 	 602.7379848910 
2457292.5951331011 	 1.1020000000 	 -0.4735736732 	 6.5440590003 	 871.3893594586 	 602.7426269119 
2457292.5957580763 	 1.1010000000 	 -0.4911923680 	 6.5825884461 	 873.3766117828 	 602.7498398622 
2457292.5963714784 	 1.1000000000 	 -0.5097516034 	 6.4936574909 	 879.8014937656 	 602.7459028807 
2457292.5969964541 	 1.0980000000 	 -0.5278047886 	 5.4631522077 	 854.7320300872 	 602.7367949390 
2457292.5976214297 	 1.0970000000 	 -0.5434484023 	 7.2705911146 	 875.1063159717 	 602.5839670366 
2457292.5982348318 	 1.0960000000 	 -0.5545263361 	 2.9356776579 	 876.7588774747 	 602.6869807306 
2457292.5988598070 	 1.0940000000 	 -0.5590523514 	 7.8528964667 	 867.8356108690 	 602.6840110364 
2457292.5994847827 	 1.0930000000 	 -0.5557645992 	 5.0181014231 	 880.6911300901 	 602.7703350223 
2457292.6001097583 	 1.0920000000 	 -0.5445939485 	 8.0987787600 	 862.8074161264 	 602.9079208008 
2457292.6007231604 	 1.0910000000 	 -0.5268721532 	 7.9130283367 	 864.2970474044 	 602.6592709217 
2457292.6013481361 	 1.0890000000 	 -0.5051298632 	 7.7358664093 	 858.4882859056 	 602.7437270320 
2457292.6019731117 	 1.0880000000 	 -0.4825102207 	 5.9351000338 	 867.7760786333 	 602.8451246313 
